都府県地方番号,都府県地方名,地点区分,地点番号,地点名,地点名カナ,緯度,経度,標高,降水量,気温,風,日照,積雪,湿度,終了年月日,備考
11,宗谷地方,s,47401,稚内,ワツカナイ,45.415000,141.678333,2.8,1,1,1,1,1,1,99999999,
11,宗谷地方,a,0002,沓形,クツガタ,45.178333,141.138333,14,1,1,1,2,0,1,99999999,
11,宗谷地方,a,0003,浜頓別,ハマトンベツ,45.125000,142.350000,18,1,1,1,2,0,0,99999999,
11,宗谷地方,s,47402,北見枝幸,キタミエサシ,44.940000,142.585000,6.7,1,1,1,1,1,1,99999999,
11,宗谷地方,a,0005,歌登,ウタノボリ,44.841667,142.480000,14,1,1,1,2,1,0,99999999,
11,宗谷地方,a,1051,中頓別,ナカトンベツ,44.965000,142.280000,25,1,1,1,2,1,0,99999999,
11,宗谷地方,a,1054,豊富,トヨトミ,45.101667,141.780000,14,1,1,1,2,1,0,99999999,
11,宗谷地方,a,1203,沼川,ヌマカワ,45.248333,141.851667,23,1,1,1,2,1,0,99999999,
11,宗谷地方,a,1207,船泊,フナドマリ,45.436667,141.035000,8,1,1,1,1,0,0,20031016,
11,宗谷地方,a,1284,宗谷岬,ソウヤミサキ,45.520000,141.935000,26,1,1,1,2,0,1,99999999,
11,宗谷地方,a,1285,浜鬼志別,ハマオニシベツ,45.335000,142.170000,13,1,1,1,2,1,1,99999999,
11,宗谷地方,a,1512,本泊,モトドマリ,45.241667,141.186667,30,1,1,1,0,0,0,99999999,
11,宗谷地方,a,1528,声問,コエトイ,45.403333,141.801667,8,1,1,1,0,1,0,99999999,
11,宗谷地方,a,1546,礼文,レブン,45.305000,141.045000,65,1,1,1,2,0,1,99999999,
11,宗谷地方,a,1593,幌泊,ホロドマリ,45.455000,141.038333,27,1,1,1,0,0,0,20090408,
11,宗谷地方,a,1573,幌延,ホロノベ,45.006667,141.851667,5,1,0,0,0,0,0,99999999,
11,宗谷地方,a,1656,礼文上泊埼,レブンウエドマリサキ,45.423333,141.065000,13,1,0,0,0,0,0,20141021,
12,上川地方,a,0006,美深,ビフカ,44.480000,142.341667,77,1,1,1,2,1,0,99999999,
12,上川地方,a,0007,ピヤシリ山,ピヤシリヤマ,44.435000,142.581667,980,1,0,0,0,0,0,20051109,
12,上川地方,a,0008,名寄,ナヨロ,44.370000,142.456667,89,1,1,1,2,1,1,99999999,
12,上川地方,a,0009,西風連,ニシフウレン,44.295000,142.358333,128,1,0,0,0,0,0,99999999,2000年11月30日までの地点名「雨竜」
12,上川地方,a,0010,下川,シモカワ,44.295000,142.636667,143,1,1,1,2,1,0,99999999,
12,上川地方,a,0011,士別,シベツ,44.186667,142.416667,135,1,1,1,2,0,0,99999999,
12,上川地方,a,0012,犬牛別峠,イヌウシベツトウゲ,44.070000,142.270000,410,1,0,0,0,0,0,20051110,
12,上川地方,a,0013,雄鷹峰,オタカミネ,43.953333,142.320000,305,1,0,0,0,0,0,20040630,
12,上川地方,a,0014,蓬莱山,ホウライザン,43.913333,142.583333,320,1,0,0,0,0,0,20040630,
12,上川地方,a,0015,上川,カミカワ,43.846667,142.753333,324,1,1,1,2,1,0,99999999,
12,上川地方,s,47407,旭川,アサヒカワ,43.756667,142.371667,119.8,1,1,1,1,1,1,99999999,
12,上川地方,a,0017,瑞穂,ミズホ,43.736667,142.638333,289,1,0,0,0,0,0,99999999,
12,上川地方,a,0018,終沢,オワリザワ,43.630000,142.335000,550,1,0,0,0,0,0,20040630,
12,上川地方,a,0019,旭岳,アサヒダケ,43.661667,142.826667,1620,1,0,0,0,0,0,20040630,
12,上川地方,a,0020,白金,シロガネ,43.475000,142.650000,658,1,0,0,0,0,0,99999999,
12,上川地方,a,0021,富良野,フラノ,43.333333,142.400000,174,1,1,1,2,1,1,99999999,
12,上川地方,a,0022,前富良野岳,マエフラノダケ,43.376667,142.568333,746,1,0,0,0,0,0,20051115,
12,上川地方,a,0023,前時雨山,マエシグレヤマ,43.185000,142.346667,380,1,0,0,0,0,0,20051117,
12,上川地方,a,1047,朝日,アサヒ,44.118333,142.595000,225,1,1,1,2,0,0,99999999,
12,上川地方,a,1048,比布,ピップ,43.870000,142.470000,164,1,1,1,2,0,0,99999999,
12,上川地方,a,1049,層雲峡,ソウウンキョウ,43.753333,142.930000,540,1,0,0,0,1,0,99999999,
12,上川地方,a,1052,美瑛,ビエイ,43.588333,142.493333,250,1,1,1,2,1,0,99999999,
12,上川地方,a,1055,和寒,ワッサム,44.028333,142.410000,150,1,1,1,2,1,0,99999999,
12,上川地方,a,1184,東川,ヒガシカワ,43.701667,142.508333,215,1,1,1,2,0,0,99999999,
12,上川地方,a,1185,志比内,シビナイ,43.643333,142.581667,310,1,1,1,2,0,0,99999999,2001年12月2日までの地点名「忠別」
12,上川地方,a,1188,幾寅,イクトラ,43.168333,142.568333,350,1,1,1,2,1,1,99999999,
12,上川地方,a,1189,占冠,シムカップ,42.978333,142.395000,332,1,1,1,2,1,0,99999999,
12,上川地方,a,1190,上富良野,カミフラノ,43.455000,142.465000,220,1,1,1,2,0,0,99999999,
12,上川地方,a,1191,江丹別,エタンベツ,43.870000,142.260000,140,1,1,1,2,0,0,99999999,
12,上川地方,a,1197,音威子府,オトイネップ,44.726667,142.265000,40,1,1,1,2,1,1,99999999,
12,上川地方,a,1201,中川,ナカガワ,44.828333,142.076667,22,1,1,1,2,0,0,99999999,
12,上川地方,a,1280,麓郷,ロクゴウ,43.301667,142.521667,315,1,1,1,2,0,0,99999999,
12,上川地方,a,1458,東神楽,ヒガシカグラ,43.670000,142.446667,211,1,1,1,0,1,0,99999999,
12,上川地方,a,1570,小車,オグルマ,44.608333,142.295000,60,1,0,0,0,0,0,99999999,
12,上川地方,a,1572,剣淵,ケンブチ,44.106667,142.353333,138,1,0,0,0,0,0,99999999,
12,上川地方,a,1574,金山,カナヤマ,43.138333,142.416667,284,1,0,0,0,0,0,99999999,
12,上川地方,a,1053,幌加内,ホロカナイ,44.010000,142.160000,159,1,1,1,2,1,0,99999999,
12,上川地方,a,1279,朱鞠内,シュマリナイ,44.281667,142.161667,255,1,1,1,2,1,1,99999999,
13,留萌地方,a,0024,天塩,テシオ,44.893333,141.761667,9,1,1,1,2,1,1,99999999,
13,留萌地方,a,0025,遠別,エンベツ,44.718333,141.806667,7,1,1,1,2,0,0,99999999,
13,留萌地方,s,47404,羽幌,ハボロ,44.363333,141.700000,7.9,1,1,1,1,1,1,99999999,
13,留萌地方,s,47406,留萌,ルモイ,43.945000,141.631667,23.6,1,1,1,1,1,1,99999999,
13,留萌地方,a,0028,増毛,マシケ,43.848333,141.510000,20,1,1,1,2,0,0,99999999,
13,留萌地方,a,1112,古丹別,コタンベツ,44.265000,141.721667,15,1,0,0,0,1,0,99999999,
13,留萌地方,a,1213,焼尻,ヤギシリ,44.428333,141.421667,38,1,1,1,2,0,0,99999999,
13,留萌地方,a,1216,初山別,ショサンベツ,44.523333,141.770000,27,1,1,1,2,1,1,99999999,
13,留萌地方,a,1217,達布,タップ,44.048333,141.856667,30,1,1,1,2,0,0,99999999,
13,留萌地方,a,1218,幌糠,ホロヌカ,43.853333,141.760000,20,1,1,1,2,1,0,99999999,
14,石狩地方,a,0029,阿曽岩,アソイワ,43.301667,141.513333,320,1,0,0,0,0,0,20091102,
14,石狩地方,a,0030,新篠津,シンシノツ,43.220000,141.645000,9,1,1,1,2,1,0,99999999,
14,石狩地方,a,0031,山口,ヤマグチ,43.148333,141.221667,5,1,1,1,2,0,0,99999999,
14,石狩地方,a,0032,手稲山,テイネヤマ,43.083333,141.201667,568,1,0,0,0,0,0,99999999,
14,石狩地方,s,47412,札幌,サツポロ,43.060000,141.328333,17.4,1,1,1,1,1,1,99999999,
14,石狩地方,a,0034,小金湯,コガネユ,42.963333,141.216667,230,1,0,0,0,1,0,99999999,
14,石狩地方,a,0035,恵庭島松,エニワシママツ,42.926667,141.565000,30,1,1,1,2,1,1,99999999,
14,石狩地方,a,0036,島松山,シママツヤマ,42.895000,141.413333,400,1,0,0,0,0,0,20040501,
14,石狩地方,a,0037,支笏湖畔,シコツコハン,42.771667,141.406667,290,1,1,1,2,0,0,99999999,
14,石狩地方,a,1076,西野幌,ニシノッポロ,43.043333,141.540000,22,1,1,1,1,0,0,20001031,
14,石狩地方,a,1085,石狩,イシカリ,43.193333,141.370000,5,1,1,1,2,1,1,99999999,
14,石狩地方,a,1193,浜益,ハママス,43.581667,141.386667,3,1,1,1,2,0,1,99999999,
14,石狩地方,a,1194,厚田,アツタ,43.396667,141.436667,5,1,1,1,2,1,0,99999999,
14,石狩地方,a,1459,千歳,チトセ,42.775000,141.691667,22,1,1,1,0,1,0,99999999,
14,石狩地方,a,1507,江別,エベツ,43.110000,141.601667,8,1,1,1,2,0,0,99999999,
