ダウンロードした時刻：2023/11/04 23:38:06

,,,東京,東京,東京,東京,東京,東京,東京,東京,東京
年,月,日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,,,
,,,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1923,11,1,21.5,8,1,27.3,8,1,17.6,8,1
1923,11,2,21.3,8,1,24.7,8,1,17.9,8,1
1923,11,3,15.6,8,1,19.8,8,1,10.1,8,1
1923,11,4,13.2,8,1,18.5,8,1,8.4,8,1
1923,11,5,14.9,8,1,21.3,8,1,10.2,8,1
1923,11,6,13.6,8,1,17.5,8,1,8.4,8,1
1923,11,7,14.9,8,1,20.0,8,1,12.7,8,1
1923,11,8,14.8,8,1,20.5,8,1,9.5,8,1
1923,11,9,9.8,8,1,13.9,8,1,6.6,8,1
1923,11,10,10.9,8,1,17.1,8,1,4.2,8,1
1923,11,11,14.4,8,1,19.2,8,1,9.7,8,1
1923,11,12,12.7,8,1,13.9,8,1,11.6,8,1
1923,11,13,15.0,8,1,21.4,8,1,10.9,8,1
1923,11,14,12.0,8,1,17.9,8,1,6.7,8,1
1923,11,15,10.0,8,1,15.9,8,1,3.5,8,1
1923,11,16,9.1,8,1,15.5,8,1,3.1,8,1
1923,11,17,8.1,8,1,10.9,8,1,5.4,8,1
1923,11,18,9.0,8,1,10.4,8,1,6.9,8,1
1923,11,19,12.5,8,1,16.9,8,1,8.6,8,1
1923,11,20,13.3,8,1,19.5,8,1,8.2,8,1
1923,11,21,8.6,8,1,15.4,8,1,2.9,8,1
1923,11,22,8.6,8,1,15.3,8,1,2.7,8,1
1923,11,23,10.3,8,1,16.8,8,1,4.6,8,1
1923,11,24,8.9,8,1,10.4,8,1,6.4,8,1
1923,11,25,13.0,8,1,19.8,8,1,8.7,8,1
1923,11,26,9.5,8,1,12.9,8,1,7.4,8,1
1923,11,27,8.2,8,1,12.9,8,1,3.6,8,1
1923,11,28,6.9,8,1,8.3,8,1,4.8,8,1
1923,11,29,10.4,8,1,16.0,8,1,4.9,8,1
1923,11,30,8.2,8,1,11.7,8,1,5.9,8,1
1924,11,1,12.8,8,1,15.4,8,1,10.2,8,1
1924,11,2,13.4,8,1,19.9,8,1,6.8,8,1
1924,11,3,10.4,8,1,15.4,8,1,5.4,8,1
1924,11,4,11.0,8,1,16.4,8,1,5.9,8,1
1924,11,5,14.1,8,1,21.3,8,1,8.1,8,1
1924,11,6,11.6,8,1,14.8,8,1,8.6,8,1
1924,11,7,11.0,8,1,17.9,8,1,5.5,8,1
1924,11,8,12.1,8,1,19.9,8,1,4.8,8,1
1924,11,9,13.1,8,1,17.0,8,1,9.8,8,1
1924,11,10,9.9,8,1,16.0,8,1,5.0,8,1
1924,11,11,9.6,8,1,17.5,8,1,3.1,8,1
1924,11,12,10.3,8,1,17.4,8,1,3.4,8,1
1924,11,13,8.8,8,1,17.3,8,1,3.1,8,1
1924,11,14,8.4,8,1,15.4,8,1,2.0,8,1
1924,11,15,8.0,8,1,14.2,8,1,2.6,8,1
1924,11,16,6.6,8,1,13.9,8,1,-0.1,8,1
1924,11,17,7.7,8,1,14.4,8,1,1.4,8,1
1924,11,18,9.8,8,1,17.3,8,1,4.0,8,1
1924,11,19,10.8,8,1,19.3,8,1,4.2,8,1
1924,11,20,12.4,8,1,17.8,8,1,8.9,8,1
1924,11,21,13.7,8,1,18.1,8,1,10.0,8,1
1924,11,22,10.6,8,1,17.5,8,1,5.2,8,1
1924,11,23,8.6,8,1,11.8,8,1,4.3,8,1
1924,11,24,8.6,8,1,12.6,8,1,5.4,8,1
1924,11,25,6.9,8,1,11.5,8,1,2.9,8,1
1924,11,26,5.9,8,1,11.7,8,1,2.3,8,1
1924,11,27,7.4,8,1,15.1,8,1,0.6,8,1
1924,11,28,6.6,8,1,13.9,8,1,1.5,8,1
1924,11,29,6.5,8,1,14.4,8,1,0.8,8,1
1924,11,30,10.0,8,1,18.4,8,1,0.9,8,1
1925,11,1,12.6,8,1,15.1,8,1,11.6,8,1
1925,11,2,13.6,8,1,14.5,8,1,12.5,8,1
1925,11,3,13.9,8,1,19.3,8,1,8.8,8,1
1925,11,4,14.9,8,1,22.4,8,1,9.8,8,1
1925,11,5,11.9,8,1,17.4,8,1,7.4,8,1
1925,11,6,11.0,8,1,17.9,8,1,5.1,8,1
1925,11,7,11.8,8,1,19.6,8,1,5.2,8,1
1925,11,8,11.6,8,1,18.7,8,1,4.9,8,1
1925,11,9,12.4,8,1,20.0,8,1,6.7,8,1
1925,11,10,12.8,8,1,19.0,8,1,6.9,8,1
1925,11,11,11.9,8,1,13.8,8,1,9.8,8,1
1925,11,12,14.2,8,1,19.3,8,1,8.9,8,1
1925,11,13,9.5,8,1,11.5,8,1,8.3,8,1
1925,11,14,11.5,8,1,17.2,8,1,4.4,8,1
1925,11,15,13.3,8,1,21.4,8,1,5.8,8,1
1925,11,16,11.4,8,1,18.3,8,1,5.4,8,1
1925,11,17,11.1,8,1,15.1,8,1,5.7,8,1
1925,11,18,11.4,8,1,12.0,8,1,10.9,8,1
1925,11,19,14.2,8,1,19.3,8,1,10.7,8,1
1925,11,20,14.1,8,1,19.6,8,1,9.9,8,1
1925,11,21,12.0,8,1,17.7,8,1,7.6,8,1
1925,11,22,12.2,8,1,19.7,8,1,5.4,8,1
1925,11,23,10.7,8,1,15.9,8,1,3.8,8,1
1925,11,24,9.8,8,1,11.0,8,1,8.9,8,1
1925,11,25,10.5,8,1,15.3,8,1,5.2,8,1
1925,11,26,6.3,8,1,10.8,8,1,2.4,8,1
1925,11,27,6.0,8,1,11.1,8,1,2.0,8,1
